year,date,team_a,team_b,score_a,score_b,venue,notes
1985,10/12,Army,Boston College,45,14,,
1985,10/19,Boston College,West Virginia,6,13,,
1985,10/26,Boston College,Cincinnati,17,24,"@ Cincinnati, OH",
1985,11/2,Boston College,Penn State,12,16,,
1985,11/16,Boston College,Syracuse,21,41,,
1985,11/23,Boston College,Holy Cross,38,7,,
1984,9/1,Boston College,Western Carolina,44,24,,
1984,9/8,Alabama,Boston College,31,38,"@ Birmingham, AL",
1984,9/22,Boston College,North Carolina,52,20,,
1984,10/13,Boston College,Temple,24,10,,
1984,10/20,Boston College,West Virginia,20,21,,
1984,10/27,Boston College,Rutgers,35,23,,
1984,11/3,Boston College,Penn State,30,37,,
1984,11/10,Army,Boston College,31,45,,
1984,11/17,Boston College,Syracuse,24,16,"@ Foxborough, MA",
1984,11/23,Boston College,Miami (Florida),47,45,,
1984,12/1,Boston College,Holy Cross,45,10,,
1984,1/1,Boston College,Houston,45,28,"@ Dallas, TX",Cotton Bowl
1983,9/3,Boston College,Morgan State,45,12,,
1983,9/10,Boston College,Clemson,31,16,,
1983,9/17,Boston College,Rutgers,42,22,"@ East Rutherford, NJ",
1983,9/24,Boston College,West Virginia,17,27,,
1983,10/1,Boston College,Temple,18,15,,
1983,10/8,Boston College,Yale,42,7,,
1983,10/29,Boston College,Penn State,27,17,"@ Foxborough, MA",
1983,11/5,Army,Boston College,14,34,,
1983,11/12,Boston College,Syracuse,10,21,,
1983,11/19,Boston College,Holy Cross,47,7,"@ Foxborough, MA",
1983,11/25,Alabama,Boston College,13,20,"@ Foxborough, MA",
1983,12/29,Boston College,Notre Dame,18,19,"@ Memphis, TN",Liberty Bowl
1982,9/4,Boston College,Texas A&M,38,16,,
1982,9/11,Boston College,Clemson,17,17,,
1982,9/25,Boston College,Navy,31,0,,
1982,10/2,Boston College,Temple,17,7,,
1982,10/9,Boston College,West Virginia,13,20,,
1982,10/16,Boston College,Rutgers,14,13,,
1982,10/23,Army,Boston College,17,32,,
1982,10/30,Boston College,Penn State,17,52,,
1982,11/6,Boston College,Massachusetts,34,21,,
1982,11/13,Boston College,Syracuse,20,13,,
1982,11/20,Boston College,Holy Cross,35,10,,
1982,12/18,Auburn,Boston College,33,26,"@ Orlando, FL",Tangerine Bowl
1981,9/19,Boston College,Texas A&M,13,12,,
1981,9/26,Boston College,North Carolina,14,56,,
1981,10/3,Boston College,West Virginia,10,38,,
1981,10/10,Boston College,Penn State,7,38,,
